SID,T,S,dens,Station,Niskin
778,12.2521,35.0736,1027.71080356315,SHBML12,5
756,9.821,34.7649,1027.1675465399,NML02,4
734,9.6129,34.7424,1027.38873000133,NML02,1
781,15.0085,35.4193,1026.82329769345,SHBML12,6
765,11.7636,34.8345,1026.52124466243,NML02,9
681,14.4115,35.3106,1026.74289564689,SHBML10,6
782,15.6277,35.4831,1026.33951614851,SHBML12,8
664,8.0029,34.5664,1028.93224591918,SHBML11,4
679,13.2757,35.1778,1027.0063099787,SHBML10,5
663,8.97,34.6629,1028.6244425553,SHBML11,5
350,12.4888,34.8919,1026.50481516372,KML03,8
391,10.1308,34.7966,1027.49638661659,KML05,4
394,10.3505,34.8226,1027.38285621893,KML05,5
336,10.8742,34.7874,1026.6972250629,KML01,4
354,10.9346,34.7889,1026.67182390591,KML01,5
362,9.6489,34.7446,1027.35706237488,KML03,3
170,14.5035,35.1744,1026.38713145986,KML09,8
351,9.6136,34.7405,1027.49253436506,KML03,1
359,12.4922,34.8931,1026.41943123745,KML03,9
439,13.7158,34.9504,1026.22526227234,SHBML13,8
279,4.3594,34.4459,1031.2035169407,KML09,1
342,11.244,34.9151,1027.01875197417,KML04,5
314,14.6035,35.1339,1026.1819625715,KML07,10
293,12.3954,35.0448,1027.08090869525,KML08,5
369,13.2061,34.9492,1026.40665096278,KML04,8
312,14.3375,35.1301,1026.30398785393,KML07,9
