lat,lon,date,extent
41.34211,-72.18512,8/25/2020,5
41.34297,-72.18533,8/25/2020,0
41.34341,-72.18285,8/25/2020,0
41.34378,-72.18058,8/25/2020,0
41.34420,-72.17822,8/25/2020,0
41.34452,-72.17640,8/25/2020,0
41.34367,-72.17575,8/25/2020,0
41.34300,-72.17809,8/25/2020,0
41.34261,-72.18034,8/25/2020,0
41.34230,-72.18271,8/25/2020,0
41.34212,-72.18427,8/25/2020,0
41.34113,-72.18424,8/25/2020,5
41.34101,-72.18287,8/25/2020,5
41.34109,-72.18166,8/25/2020,0
41.34129,-72.18048,8/25/2020,0
41.34148,-72.17922,8/25/2020,0
41.34162,-72.17809,8/25/2020,0
41.34207,-72.17593,8/25/2020,0
41.34135,-72.17459,8/25/2020,0
41.34086,-72.17590,8/25/2020,0
41.34056,-72.17736,8/25/2020,0
41.34042,-72.17825,8/25/2020,0
41.34023,-72.17928,8/25/2020,0
41.34008,-72.18037,8/25/2020,5
41.33987,-72.18141,8/25/2020,5
41.33975,-72.18246,8/25/2020,5
41.33960,-72.18371,8/25/2020,5
41.33862,-72.18503,8/25/2020,5
41.33883,-72.18367,8/25/2020,5
41.33881,-72.18264,8/25/2020,5
41.33893,-72.18125,8/25/2020,5
41.33916,-72.17992,8/25/2020,5
41.33929,-72.17886,8/25/2020,0
41.33941,-72.17738,8/25/2020,0
41.33950,-72.17635,8/25/2020,0
41.33960,-72.17511,8/25/2020,0
41.33865,-72.17496,8/25/2020,0
41.33847,-72.17628,8/25/2020,0
41.33834,-72.17747,8/25/2020,0
41.33824,-72.17856,8/25/2020,0
41.33811,-72.17998,8/25/2020,3
41.33794,-72.18094,8/25/2020,5
41.33768,-72.18182,8/25/2020,5
41.33735,-72.18327,8/25/2020,5
41.33781,-72.18360,8/25/2020,5
41.33788,-72.18464,8/25/2020,5
41.33791,-72.18565,8/25/2020,5
41.33772,-72.18669,8/25/2020,0
41.33758,-72.18907,8/25/2020,0
41.33792,-72.18746,8/25/2020,0
41.33640,-72.18342,8/25/2020,5
41.33643,-72.18271,8/25/2020,5
41.33670,-72.18178,8/25/2020,5
41.33687,-72.18078,8/25/2020,5
41.33707,-72.17998,8/25/2020,0
41.33615,-72.18050,8/25/2020,5
41.33607,-72.18121,8/25/2020,5
41.33554,-72.18252,8/25/2020,4
41.33463,-72.18215,8/25/2020,3
41.33495,-72.18083,8/25/2020,0
